Date-Hour(NMT),FF,OT_1,PR,QSI,TA,UU
17.01.2017-02:00,0.9,0,1030.3,-6.2,-5.1,83
17.01.2017-03:00,1,0,1030.1,-5.9,-4.7,84
17.01.2017-04:00,0.8,0,1029.8,-5.8,-4.2,82
17.01.2017-05:00,0.7,0,1029.6,-5.9,-4,84
17.01.2017-06:00,0.8,0,1029.5,-5.6,-4,90
17.01.2017-07:00,0.7,0,1029.5,-5.2,-3.9,89
17.01.2017-08:00,1.2,0,1029.5,-5.7,-4.2,88
17.01.2017-09:00,1.4,0,1029.7,-5,-4.5,89
17.01.2017-10:00,0.5,0,1030,4.2,-4.4,88
17.01.2017-11:00,0.7,10,1029.9,60,-3.3,86
17.01.2017-12:00,1,0,1029.4,51.9,-2.8,86
17.01.2017-13:00,0.7,0,1029.2,48.3,-2.3,85
17.01.2017-14:00,1.5,0,1028.8,34.5,-2.4,91
17.01.2017-15:00,0.8,0,1028.8,8.3,-2.3,90
17.01.2017-16:00,1.4,0,1028.8,-1.4,-2.5,90
17.01.2017-17:00,0.4,0,1028.7,-6.5,-2.4,90
17.01.2017-18:00,0.5,0,1028.6,-6.8,-2.2,91
17.01.2017-19:00,0.9,0,1028.6,-6.8,-1.8,91
17.01.2017-20:00,1.9,0,1028.7,-7.2,-1.9,92
17.01.2017-21:00,2.7,0,1028.8,-6.9,-2.1,90
17.01.2017-22:00,2.9,0,1029,-6.7,-2.3,89
17.01.2017-23:00,1.4,0,1029.1,-7.9,-2.9,91
18.01.2017-00:00,2,0,1029.3,-7,-3.5,91
18.01.2017-01:00,2.1,0,1029.3,-6.5,-3.4,91
18.01.2017-02:00,1.3,0,1029.3,-7.4,-4,91
18.01.2017-03:00,1.1,0,1028.9,-6.7,-4.7,91
18.01.2017-04:00,1.4,0,1028.6,-6.2,-4.2,93
18.01.2017-05:00,0.8,0,1028.2,-5.1,-3.7,97
18.01.2017-06:00,1.2,0,1027.7,-5.3,-3.7,98
18.01.2017-07:00,1.1,0,1027.5,-5,-3.6,98
18.01.2017-08:00,2,0,1027.6,-5,-4,98
18.01.2017-09:00,1.4,0,1027.4,-4.5,-3.7,98
18.01.2017-10:00,0.3,0,1027.6,2.2,-3.2,98
18.01.2017-11:00,1.5,0,1027.4,27.8,-2.6,98
18.01.2017-12:00,0.7,0,1027.2,50.5,-2.3,99
18.01.2017-13:00,0.7,0,1026.7,54.8,-1.9,99
18.01.2017-14:00,1.3,0,1026,49.5,-2,99
18.01.2017-15:00,1.1,0,1025.6,38.8,-2,99
